Orthogroup	MFC_MF29_genes	MHP_F72C_genes
OG0000534	DR095_RS00775	EHI52_RS00395
OG0000535	DR095_RS01070	EHI52_RS00045
OG0000536	DR095_RS01195	EHI52_RS03545
OG0000537	DR095_RS02100	EHI52_RS00725
OG0000538	DR095_RS02220	EHI52_RS01195
OG0000539	DR095_RS00940	EHI52_RS00220
OG0000541	DR095_RS00385	EHI52_RS02710
OG0000542	DR095_RS00805	EHI52_RS00365
OG0000547	DR095_RS00180	EHI52_RS02900
OG0000548	DR095_RS02700	EHI52_RS01650
OG0000549	DR095_RS02670	EHI52_RS03335
OG0000550	DR095_RS02545	EHI52_RS03460
OG0000551	DR095_RS01730	EHI52_RS02975
OG0000555	DR095_RS03315	EHI52_RS03850
OG0000585	DR095_RS03450	EHI52_RS02220
OG0000589	DR095_RS03040	EHI52_RS00950
OG0000595	DR095_RS03770	EHI52_RS03000
OG0000596	DR095_RS01005	EHI52_RS01785
OG0000598	DR095_RS01010	EHI52_RS01790
OG0000599	DR095_RS01015	EHI52_RS01795
OG0000602	DR095_RS02890	EHI52_RS01900
