Orthogroup	MFC_MF29_genes	MHP_NCTC10127_genes
OG0000529	DR095_RS01300	EXC50_RS01090
OG0000530	DR095_RS01365	EXC50_RS01200
OG0000531	DR095_RS01485	EXC50_RS02690
OG0000533	DR095_RS02250	EXC50_RS03490
OG0000534	DR095_RS00775	EXC50_RS00395
OG0000535	DR095_RS01070	EXC50_RS00045
OG0000536	DR095_RS01195	EXC50_RS02385
OG0000537	DR095_RS02100	EXC50_RS03360
OG0000538	DR095_RS02220	EXC50_RS02965
OG0000539	DR095_RS00940	EXC50_RS00220
OG0000541	DR095_RS00385	EXC50_RS01560
OG0000542	DR095_RS00805	EXC50_RS00365
OG0000547	DR095_RS00180	EXC50_RS01750
OG0000548	DR095_RS02700	EXC50_RS00535
OG0000549	DR095_RS02670	EXC50_RS02160
OG0000550	DR095_RS02545	EXC50_RS02305
OG0000551	DR095_RS01730	EXC50_RS01825
OG0000555	DR095_RS03315	EXC50_RS04055
OG0000584	DR095_RS01670	EXC50_RS03755
OG0000598	DR095_RS01010	EXC50_RS00690
OG0000599	DR095_RS01015	EXC50_RS00695
OG0000600	DR095_RS01665	EXC50_RS02480
OG0000602	DR095_RS02890	EXC50_RS00980
OG0000605	DR095_RS01645	EXC50_RS02495, EXC50_RS02490, EXC50_RS03770
