Orthogroup	MFC_Ms42_genes	MHP_4284_genes
OG0000471	MYF_RS02215	ABLE99_RS00755
OG0000472	MYF_RS03535	ABLE99_RS03205
OG0000473	MYF_RS02960	ABLE99_RS03360
OG0000474	MYF_RS02965	ABLE99_RS03365
OG0000475	MYF_RS02970	ABLE99_RS03370
OG0000476	MYF_RS03040	ABLE99_RS01520
OG0000477	MYF_RS00930	ABLE99_RS02515
OG0000478	MYF_RS02905	ABLE99_RS03305
OG0000479	MYF_RS01680	ABLE99_RS01295
OG0000480	MYF_RS03350	ABLE99_RS01945
OG0000481	MYF_RS02110	ABLE99_RS00860
OG0000482	MYF_RS01975	ABLE99_RS01175
OG0000483	MYF_RS01375	ABLE99_RS01990
OG0000484	MYF_RS00160	ABLE99_RS00200
OG0000485	MYF_RS02445	ABLE99_RS01135
OG0000486	MYF_RS01925	ABLE99_RS02140
OG0000487	MYF_RS01445	ABLE99_RS01920
OG0000488	MYF_RS01405	ABLE99_RS01960
OG0000489	MYF_RS00050	ABLE99_RS00050
OG0000490	MYF_RS03140	ABLE99_RS03470
OG0000491	MYF_RS01700	ABLE99_RS01315
OG0000492	MYF_RS01775	ABLE99_RS01390
OG0000493	MYF_RS00535	ABLE99_RS00575
OG0000494	MYF_RS00585	ABLE99_RS01020
OG0000495	MYF_RS00735	ABLE99_RS02730
OG0000496	MYF_RS00745	ABLE99_RS02720
OG0000497	MYF_RS00750	ABLE99_RS02715
OG0000498	MYF_RS00820	ABLE99_RS02630
OG0000499	MYF_RS00865	ABLE99_RS02595
OG0000500	MYF_RS01255	ABLE99_RS01845
OG0000501	MYF_RS02590	ABLE99_RS02955
OG0000502	MYF_RS01985	ABLE99_RS01165
OG0000503	MYF_RS02055	ABLE99_RS00915
OG0000504	MYF_RS02190	ABLE99_RS00780
OG0000505	MYF_RS02225	ABLE99_RS00745
OG0000506	MYF_RS02235	ABLE99_RS00735
OG0000507	MYF_RS02270	ABLE99_RS00700
OG0000508	MYF_RS00215	ABLE99_RS00250
OG0000509	MYF_RS00250	ABLE99_RS00285
