Orthogroup	MFC_Ms42_genes	MHP_131B_genes
OG0000418	MYF_RS01950	NB627_RS02440
OG0000419	MYF_RS02010	NB627_RS00825
OG0000420	MYF_RS02045	NB627_RS00860
OG0000421	MYF_RS02075	NB627_RS00900
OG0000422	MYF_RS02085	NB627_RS00905
OG0000423	MYF_RS02140	NB627_RS00965
OG0000424	MYF_RS02145	NB627_RS00970
OG0000425	MYF_RS02155	NB627_RS00980
OG0000426	MYF_RS02160	NB627_RS00985
OG0000427	MYF_RS02185	NB627_RS01010
OG0000429	MYF_RS02300	NB627_RS01130
OG0000430	MYF_RS02345	NB627_RS01175
OG0000431	MYF_RS02355	NB627_RS01185
OG0000432	MYF_RS02375	NB627_RS01215
OG0000433	MYF_RS02385	NB627_RS01230
OG0000434	MYF_RS02390	NB627_RS01235
OG0000435	MYF_RS02405	NB627_RS01250
OG0000436	MYF_RS02440	NB627_RS01275
OG0000437	MYF_RS02450	NB627_RS01285
OG0000438	MYF_RS02455	NB627_RS01290
OG0000439	MYF_RS02460	NB627_RS01295
OG0000440	MYF_RS02475	NB627_RS03140
OG0000441	MYF_RS02515	NB627_RS03185
OG0000442	MYF_RS00090	NB627_RS00145
OG0000443	MYF_RS00150	NB627_RS00190
OG0000444	MYF_RS00165	NB627_RS00205
OG0000445	MYF_RS00190	NB627_RS00230
OG0000446	MYF_RS00220	NB627_RS00255
OG0000447	MYF_RS00225	NB627_RS00260
OG0000448	MYF_RS00255	NB627_RS00290
OG0000449	MYF_RS00280	NB627_RS00315
OG0000450	MYF_RS00290	NB627_RS00325
OG0000451	MYF_RS00330	NB627_RS00380
OG0000452	MYF_RS00355	NB627_RS00405
OG0000453	MYF_RS00390	NB627_RS00535
OG0000454	MYF_RS03480, MYF_RS03485	NB627_RS00520
OG0000455	MYF_RS02975	NB627_RS03715
OG0000456	MYF_RS02860	NB627_RS03595
OG0000457	MYF_RS02835	NB627_RS03565
OG0000458	MYF_RS01095	NB627_RS02700
OG0000459	MYF_RS01070	NB627_RS02725
OG0000460	MYF_RS01060	NB627_RS02735
OG0000461	MYF_RS01010	NB627_RS02780
OG0000462	MYF_RS01015	NB627_RS02775
OG0000463	MYF_RS01020	NB627_RS02770
OG0000464	MYF_RS01030	NB627_RS02765
OG0000465	MYF_RS01035	NB627_RS02760
OG0000466	MYF_RS00360	NB627_RS00410
OG0000467	MYF_RS03505	NB627_RS02865
OG0000468	MYF_RS01290	NB627_RS02105
OG0000469	MYF_RS01425	NB627_RS02165
OG0000470	MYF_RS02135	NB627_RS00960
OG0000471	MYF_RS02215	NB627_RS01040
OG0000472	MYF_RS03535	NB627_RS03520
OG0000474	MYF_RS02965	NB627_RS03705
OG0000475	MYF_RS02970	NB627_RS03710
OG0000476	MYF_RS03040	NB627_RS01685
OG0000477	MYF_RS00930	NB627_RS02810
OG0000478	MYF_RS02905	NB627_RS03645
OG0000479	MYF_RS01680	NB627_RS01450
OG0000480	MYF_RS03350	NB627_RS02170
OG0000481	MYF_RS02110	NB627_RS00935
OG0000482	MYF_RS01975	NB627_RS01320
OG0000483	MYF_RS01375	NB627_RS02220
OG0000484	MYF_RS00160	NB627_RS00200
OG0000485	MYF_RS02445	NB627_RS01280
OG0000486	MYF_RS01925	NB627_RS02470
OG0000488	MYF_RS01405	NB627_RS02185
OG0000490	MYF_RS03140	NB627_RS03815
OG0000491	MYF_RS01700	NB627_RS01470
OG0000492	MYF_RS01775	NB627_RS01555
OG0000493	MYF_RS00535	NB627_RS00690
OG0000494	MYF_RS00585	NB627_RS00750
OG0000496	MYF_RS00745	NB627_RS03015
OG0000497	MYF_RS00750	NB627_RS03010
OG0000498	MYF_RS00820	NB627_RS02925
OG0000499	MYF_RS00865	NB627_RS02890
OG0000500	MYF_RS01255	NB627_RS02070
OG0000501	MYF_RS02590	NB627_RS03260
OG0000504	MYF_RS02190	NB627_RS01015
OG0000505	MYF_RS02225	NB627_RS01050
OG0000506	MYF_RS02235	NB627_RS01060
OG0000507	MYF_RS02270	NB627_RS01095
OG0000508	MYF_RS00215	NB627_RS00250
OG0000509	MYF_RS00250	NB627_RS00285
OG0000510	MYF_RS00260	NB627_RS00300
OG0000511	MYF_RS00395	NB627_RS00540
OG0000512	MYF_RS01055	NB627_RS02740
OG0000513	MYF_RS02890	NB627_RS03630
OG0000514	MYF_RS00710	NB627_RS03050
OG0000517	MYF_RS00065	NB627_RS00065
OG0000518	MYF_RS02630	NB627_RS03300
OG0000520	MYF_RS02205	NB627_RS01035
OG0000521	MYF_RS00230	NB627_RS00265
OG0000523	MYF_RS02830	NB627_RS03560
OG0000524	MYF_RS00890	NB627_RS02860
OG0000531	MYF_RS01750	NB627_RS01530
OG0000532	MYF_RS00620	NB627_RS01755
OG0000533	MYF_RS02365	NB627_RS00710
OG0000538	MYF_RS02395	NB627_RS01240
OG0000540	MYF_RS00910	NB627_RS02830
OG0000551	MYF_RS02505	NB627_RS03170
OG0000555	MYF_RS03410	NB627_RS03105
OG0000589	MYF_RS03220	NB627_RS02300
OG0000595	MYF_RS02570	NB627_RS03195
OG0000596	MYF_RS00110	NB627_RS01870
OG0000597	MYF_RS02565	NB627_RS03190
OG0000598	MYF_RS00105	NB627_RS01875
OG0000599	MYF_RS00100	NB627_RS01880
OG0000627	MYF_RS03075	NB627_RS03750
