Orthogroup	MHP_MHP699_genes	MHP_J_genes
OG0000509	DR100_RS00560	MHJ_RS00265
OG0000510	DR100_RS00550	MHJ_RS00275
OG0000511	DR100_RS00415	MHJ_RS00410
OG0000512	DR100_RS01915	MHJ_RS02510
OG0000513	DR100_RS01375	MHJ_RS03395
OG0000514	DR100_RS01730	MHJ_RS02830
OG0000515	DR100_RS04295	MHJ_RS01535
OG0000516	DR100_RS04805	MHJ_RS01965
OG0000517	DR100_RS01125	MHJ_RS00065
OG0000518	DR100_RS01520	MHJ_RS03080
OG0000519	DR100_RS00885	MHJ_RS00760
OG0000520	DR100_RS01010	MHJ_RS00885
OG0000521	DR100_RS00580	MHJ_RS00245
OG0000522	DR100_RS00545	MHJ_RS00280
OG0000523	DR100_RS01440	MHJ_RS03335
OG0000524	DR100_RS02455	MHJ_RS02635
