Orthogroup	MHP_ES2L_genes	MHP_UFV02_genes
OG0000325	HZK19_RS00675	FEF31_RS00355
OG0000326	HZK19_RS00770	FEF31_RS00450
OG0000327	HZK19_RS00775	FEF31_RS00455
OG0000328	HZK19_RS00860	FEF31_RS00540
OG0000329	HZK19_RS00880	FEF31_RS00560
OG0000330	HZK19_RS01080	FEF31_RS00760
OG0000331	HZK19_RS02935	FEF31_RS02710
OG0000332	HZK19_RS03150	FEF31_RS03680
OG0000333	HZK19_RS03160	FEF31_RS03690
OG0000334	HZK19_RS03270	FEF31_RS03790
OG0000335	HZK19_RS03280	FEF31_RS03800
OG0000336	HZK19_RS03450	FEF31_RS04620
OG0000337	HZK19_RS03620	FEF31_RS03240
OG0000338	HZK19_RS03660	FEF31_RS03280
OG0000339	HZK19_RS02305	FEF31_RS02070
OG0000340	HZK19_RS01280	FEF31_RS00970
OG0000341	HZK19_RS02260	FEF31_RS02030
OG0000342	HZK19_RS00705	FEF31_RS00385
OG0000343	HZK19_RS03170	FEF31_RS03700
OG0000344	HZK19_RS00565	FEF31_RS00235
OG0000345	HZK19_RS00995	FEF31_RS00675
OG0000346	HZK19_RS03455	FEF31_RS03080
OG0000347	HZK19_RS01370	FEF31_RS01065
OG0000348	HZK19_RS00780	FEF31_RS00460
OG0000349	HZK19_RS03515	FEF31_RS04630
OG0000350	HZK19_RS02725	FEF31_RS02500
OG0000351	HZK19_RS00480	FEF31_RS00155
OG0000352	HZK19_RS01895	FEF31_RS01680
OG0000353	HZK19_RS01340	FEF31_RS01035
OG0000354	HZK19_RS00625	FEF31_RS00295
OG0000355	HZK19_RS01870	FEF31_RS04470
OG0000356	HZK19_RS01955	FEF31_RS04475
OG0000357	HZK19_RS03130	FEF31_RS04685
OG0000358	HZK19_RS03135	FEF31_RS03665
OG0000359	HZK19_RS00750	FEF31_RS04380
OG0000360	HZK19_RS00260	FEF31_RS03545
OG0000361	HZK19_RS00290	FEF31_RS03575
OG0000362	HZK19_RS02510	FEF31_RS02285
OG0000363	HZK19_RS03730	FEF31_RS01105
OG0000364	HZK19_RS01855	FEF31_RS01635
OG0000365	HZK19_RS02000	FEF31_RS01785
OG0000366	HZK19_RS02025	FEF31_RS01805
OG0000367	HZK19_RS02035	FEF31_RS01815
OG0000368	HZK19_RS00060	FEF31_RS03345
OG0000369	HZK19_RS00025	FEF31_RS04650
OG0000370	HZK19_RS00020	FEF31_RS03305
OG0000371	HZK19_RS00015	FEF31_RS03300
OG0000372	HZK19_RS00010	FEF31_RS03295
OG0000373	HZK19_RS03650	FEF31_RS03270
OG0000374	HZK19_RS03640	FEF31_RS03260
OG0000375	HZK19_RS02195	FEF31_RS01965
OG0000376	HZK19_RS02345	FEF31_RS02110
OG0000377	HZK19_RS02335	FEF31_RS02100
OG0000378	HZK19_RS01260	FEF31_RS00950
OG0000379	HZK19_RS01335	FEF31_RS01030
OG0000380	HZK19_RS01360	FEF31_RS01055
OG0000381	HZK19_RS01400	FEF31_RS01095
OG0000382	HZK19_RS01430	FEF31_RS01125
OG0000383	HZK19_RS01470	FEF31_RS01165
OG0000384	HZK19_RS00505	FEF31_RS00175
OG0000385	HZK19_RS00510	FEF31_RS00180
OG0000386	HZK19_RS00530	FEF31_RS00200
OG0000387	HZK19_RS00555	FEF31_RS00225
OG0000388	HZK19_RS00560	FEF31_RS04370
OG0000389	HZK19_RS00605	FEF31_RS00275
OG0000390	HZK19_RS02865	FEF31_RS02640
OG0000391	HZK19_RS02855	FEF31_RS02630
OG0000392	HZK19_RS02830	FEF31_RS02605
OG0000393	HZK19_RS02775	FEF31_RS04550
OG0000394	HZK19_RS02700	FEF31_RS02475
OG0000395	HZK19_RS02695	FEF31_RS02470
OG0000396	HZK19_RS02395	FEF31_RS02160
OG0000397	HZK19_RS01880	FEF31_RS01665
OG0000398	HZK19_RS01885	FEF31_RS01670
OG0000399	HZK19_RS01935	FEF31_RS01715
OG0000400	HZK19_RS03000	FEF31_RS03625
OG0000401	HZK19_RS03155	FEF31_RS03685
OG0000402	HZK19_RS03165	FEF31_RS03695
OG0000403	HZK19_RS03175	FEF31_RS03705
OG0000404	HZK19_RS03205	FEF31_RS03730
OG0000405	HZK19_RS03220	FEF31_RS04800
OG0000406	HZK19_RS03285	FEF31_RS03805
OG0000407	HZK19_RS03290	FEF31_RS04695
OG0000408	HZK19_RS03295	FEF31_RS03815
OG0000409	HZK19_RS03300	FEF31_RS03820
OG0000410	HZK19_RS03360	FEF31_RS02985
OG0000411	HZK19_RS03350	FEF31_RS02975
OG0000412	HZK19_RS03345	FEF31_RS02970
OG0000413	HZK19_RS01485	FEF31_RS01180
OG0000414	HZK19_RS01495	FEF31_RS01190
OG0000415	HZK19_RS01500	FEF31_RS01195
OG0000416	HZK19_RS01510	FEF31_RS01205
OG0000417	HZK19_RS02255	FEF31_RS02025
OG0000418	HZK19_RS02250	FEF31_RS02020
OG0000419	HZK19_RS00685	FEF31_RS00365
OG0000420	HZK19_RS00720	FEF31_RS00400
OG0000421	HZK19_RS00755	FEF31_RS00435
OG0000422	HZK19_RS00765	FEF31_RS00445
OG0000423	HZK19_RS00820	FEF31_RS00500
OG0000424	HZK19_RS00825	FEF31_RS00505
OG0000425	HZK19_RS00835	FEF31_RS00515
OG0000426	HZK19_RS00840	FEF31_RS04385
OG0000427	HZK19_RS00865	FEF31_RS04390
OG0000428	HZK19_RS00890	FEF31_RS00570
OG0000429	HZK19_RS00985	FEF31_RS00665
OG0000430	HZK19_RS01030	FEF31_RS00710
OG0000431	HZK19_RS01040	FEF31_RS00720
OG0000432	HZK19_RS01075	FEF31_RS00755
OG0000433	HZK19_RS01090	FEF31_RS00770
OG0000434	HZK19_RS01095	FEF31_RS00775
OG0000435	HZK19_RS01110	FEF31_RS00790
OG0000436	HZK19_RS01135	FEF31_RS00815
OG0000437	HZK19_RS01145	FEF31_RS00825
OG0000438	HZK19_RS01150	FEF31_RS00830
OG0000439	HZK19_RS01155	FEF31_RS04400
OG0000440	HZK19_RS02915	FEF31_RS02690
OG0000441	HZK19_RS02955	FEF31_RS02725
OG0000442	HZK19_RS00130	FEF31_RS03415
OG0000443	HZK19_RS00175	FEF31_RS03460
OG0000444	HZK19_RS00190	FEF31_RS03475
OG0000445	HZK19_RS00215	FEF31_RS03500
OG0000446	HZK19_RS00240	FEF31_RS03525
OG0000447	HZK19_RS00245	FEF31_RS03530
OG0000448	HZK19_RS00275	FEF31_RS03560
OG0000449	HZK19_RS00300	FEF31_RS03585
OG0000450	HZK19_RS00310	FEF31_RS03595
OG0000451	HZK19_RS00350	FEF31_RS00030
OG0000452	HZK19_RS00375	FEF31_RS00055
OG0000453	HZK19_RS00410	FEF31_RS00090
OG0000455	HZK19_RS03560	FEF31_RS03185
OG0000456	HZK19_RS03440	FEF31_RS03065
OG0000457	HZK19_RS03415	FEF31_RS03040
OG0000458	HZK19_RS02480	FEF31_RS02255
OG0000459	HZK19_RS02505	FEF31_RS02280
OG0000460	HZK19_RS02520	FEF31_RS02290
OG0000461	HZK19_RS02560	FEF31_RS02335
OG0000462	HZK19_RS02555	FEF31_RS02330
OG0000463	HZK19_RS02550	FEF31_RS02325
OG0000465	HZK19_RS02545	FEF31_RS02315
OG0000466	HZK19_RS00380	FEF31_RS00060
OG0000467	HZK19_RS02645	FEF31_RS04530
OG0000468	HZK19_RS01930	FEF31_RS01710
OG0000469	HZK19_RS01990	FEF31_RS01770
OG0000470	HZK19_RS00815	FEF31_RS00495
OG0000471	HZK19_RS00895	FEF31_RS00575
OG0000472	HZK19_RS03370	FEF31_RS02995
OG0000473	HZK19_RS03545	FEF31_RS03170
OG0000474	HZK19_RS03550	FEF31_RS03175
OG0000475	HZK19_RS03555	FEF31_RS03180
OG0000476	HZK19_RS01520	FEF31_RS01215
OG0000477	HZK19_RS02585	FEF31_RS02360
OG0000478	HZK19_RS03490	FEF31_RS03115
OG0000479	HZK19_RS01295	FEF31_RS00985
OG0000480	HZK19_RS01995	FEF31_RS01775
OG0000481	HZK19_RS00790	FEF31_RS00470
OG0000483	HZK19_RS02040	FEF31_RS01820
OG0000484	HZK19_RS00185	FEF31_RS04675
OG0000485	HZK19_RS01140	FEF31_RS00820
OG0000486	HZK19_RS02275	FEF31_RS02045
OG0000487	HZK19_RS01970	FEF31_RS04485
OG0000488	HZK19_RS02010	FEF31_RS01790
OG0000489	HZK19_RS00050	FEF31_RS03335
OG0000490	HZK19_RS03655	FEF31_RS03275
OG0000491	HZK19_RS01315	FEF31_RS01005
OG0000492	HZK19_RS01390	FEF31_RS01085
OG0000493	HZK19_RS00570	FEF31_RS00240
OG0000494	HZK19_RS00630	FEF31_RS00300
OG0000495	HZK19_RS02800	FEF31_RS02575
OG0000496	HZK19_RS02790	FEF31_RS02565
OG0000497	HZK19_RS02785	FEF31_RS02560
OG0000498	HZK19_RS02705	FEF31_RS02480
OG0000499	HZK19_RS02670	FEF31_RS02445
OG0000500	HZK19_RS01890	FEF31_RS01675
OG0000502	HZK19_RS01165	FEF31_RS00855
OG0000503	HZK19_RS00735	FEF31_RS00415
