Orthogroup	MFC_ATCC27716_genes	MHP_UFV02_genes
OG0000541	MFC_RS01170	FEF31_RS02460
OG0000542	MFC_RS02575	FEF31_RS00015
OG0000547	MFC_RS00980	FEF31_RS02650
OG0000548	MFC_RS01285	FEF31_RS01255
OG0000549	MFC_RS01675	FEF31_RS04580
OG0000550	MFC_RS02750	FEF31_RS03135
OG0000555	MFC_RS03340	FEF31_RS02655
OG0000589	MFC_RS03260	FEF31_RS01890
OG0000595	MFC_RS01440	FEF31_RS02735
OG0000596	MFC_RS02370	FEF31_RS01490
OG0000597	MFC_RS01435	FEF31_RS02730
OG0000598	MFC_RS02365	FEF31_RS01495
OG0000599	MFC_RS02360	FEF31_RS01500
