Orthogroup	MFC_ATCC27716_genes	MFC_MF22_genes
OG0000417	MFC_RS01760	DR094_RS02485
OG0000418	MFC_RS01765	DR094_RS02480
OG0000419	MFC_RS01825	DR094_RS02420
OG0000420	MFC_RS01860	DR094_RS02385
OG0000421	MFC_RS01890	DR094_RS02350
OG0000422	MFC_RS01900	DR094_RS02340
OG0000423	MFC_RS01955	DR094_RS01430
OG0000424	MFC_RS01960	DR094_RS01435
OG0000425	MFC_RS01970	DR094_RS01445
OG0000426	MFC_RS01975	DR094_RS03675
OG0000427	MFC_RS02000	DR094_RS03680
OG0000428	MFC_RS02030	DR094_RS01500
OG0000429	MFC_RS02120	DR094_RS01595
OG0000430	MFC_RS02165	DR094_RS01640
OG0000431	MFC_RS02175	DR094_RS01650
OG0000432	MFC_RS02195	DR094_RS01670
OG0000433	MFC_RS02205	DR094_RS01680
OG0000434	MFC_RS02210	DR094_RS01685
OG0000435	MFC_RS02225	DR094_RS01700
OG0000436	MFC_RS03535	DR094_RS01740
OG0000437	MFC_RS02270	DR094_RS01750
OG0000438	MFC_RS02275	DR094_RS03695
OG0000439	MFC_RS02280	DR094_RS01760
OG0000440	MFC_RS02295	DR094_RS01775
OG0000441	MFC_RS02335	DR094_RS01815
OG0000442	MFC_RS02350	DR094_RS01000
OG0000443	MFC_RS02410	DR094_RS00940
OG0000444	MFC_RS02425	DR094_RS00925
OG0000445	MFC_RS02450	DR094_RS00900
OG0000446	MFC_RS02480	DR094_RS00875
OG0000447	MFC_RS02485	DR094_RS00870
OG0000448	MFC_RS02515	DR094_RS00840
OG0000449	MFC_RS02540	DR094_RS00815
OG0000450	MFC_RS02550	DR094_RS00805
OG0000451	MFC_RS02590	DR094_RS00765
OG0000452	MFC_RS02615	DR094_RS00740
OG0000453	MFC_RS02650	DR094_RS00705
OG0000455	MFC_RS02700	DR094_RS03615
OG0000456	MFC_RS02815	DR094_RS01345
OG0000457	MFC_RS02840	DR094_RS01370
OG0000458	MFC_RS02885	DR094_RS00085
OG0000459	MFC_RS02910	DR094_RS00110
OG0000460	MFC_RS02920	DR094_RS00120
OG0000461	MFC_RS03080	DR094_RS00165
OG0000462	MFC_RS03085	DR094_RS00160
OG0000463	MFC_RS03090	DR094_RS00155
OG0000464	MFC_RS03100	DR094_RS00150
