Orthogroup	MFC_ATCC27716_genes	MHP_ES2L_genes
OG0000472	MFC_RS01680	HZK19_RS03370
OG0000473	MFC_RS02715	HZK19_RS03545
OG0000474	MFC_RS02710	HZK19_RS03550
OG0000475	MFC_RS02705	HZK19_RS03555
OG0000476	MFC_RS00345	HZK19_RS01520
OG0000477	MFC_RS03055	HZK19_RS02585
OG0000478	MFC_RS02770	HZK19_RS03490
OG0000479	MFC_RS00545	HZK19_RS01295
OG0000480	MFC_RS03300	HZK19_RS01995
OG0000481	MFC_RS01925	HZK19_RS00790
OG0000483	MFC_RS00095	HZK19_RS02040
OG0000484	MFC_RS02420	HZK19_RS00185
OG0000487	MFC_RS00025	HZK19_RS01970
OG0000488	MFC_RS00065	HZK19_RS02010
OG0000489	MFC_RS00185	HZK19_RS00050
OG0000490	MFC_RS00245	HZK19_RS03655
OG0000491	MFC_RS00565	HZK19_RS01315
OG0000492	MFC_RS00640	HZK19_RS01390
OG0000493	MFC_RS00855	HZK19_RS00570
OG0000494	MFC_RS00905	HZK19_RS00630
OG0000495	MFC_RS01055	HZK19_RS02800
OG0000496	MFC_RS01065	HZK19_RS02790
OG0000497	MFC_RS01070	HZK19_RS02785
OG0000498	MFC_RS01140	HZK19_RS02705
OG0000499	MFC_RS01185	HZK19_RS02670
OG0000500	MFC_RS01335	HZK19_RS01890
OG0000501	MFC_RS01460	HZK19_RS03010
OG0000502	MFC_RS01800	HZK19_RS01165
OG0000503	MFC_RS01870	HZK19_RS00735
OG0000504	MFC_RS02005	HZK19_RS00870
OG0000505	MFC_RS02045	HZK19_RS00905
OG0000506	MFC_RS02055	HZK19_RS00915
OG0000507	MFC_RS02090	HZK19_RS00950
OG0000508	MFC_RS02475	HZK19_RS00235
OG0000509	MFC_RS02510	HZK19_RS00270
OG0000510	MFC_RS02520	HZK19_RS00280
OG0000511	MFC_RS02655	HZK19_RS00415
OG0000513	MFC_RS02785	HZK19_RS03475
OG0000516	MFC_RS00030	HZK19_RS01975
