Orthogroup	MHP_TB1_genes	MHP_MHP691_genes
OG0000456	B5M19_RS00515	DR087_RS00620
OG0000457	B5M19_RS00540	DR087_RS00595
OG0000458	B5M19_RS01055	DR087_RS02935
OG0000459	B5M19_RS01030	DR087_RS02960
OG0000460	B5M19_RS01020	DR087_RS02970
OG0000461	B5M19_RS04125	DR087_RS01335
OG0000462	B5M19_RS00980	DR087_RS01340
OG0000463	B5M19_RS04130	DR087_RS01350
OG0000464	B5M19_RS00990	DR087_RS03000
OG0000465	B5M19_RS00995	DR087_RS02995
OG0000467	B5M19_RS00895	DR087_RS04570
OG0000468	B5M19_RS00790	DR087_RS00010
OG0000469	B5M19_RS00850	DR087_RS00070
OG0000470	B5M19_RS03910	DR087_RS03755
OG0000471	B5M19_RS01625	DR087_RS02525
OG0000472	B5M19_RS00580	DR087_RS02125
OG0000473	B5M19_RS00410	DR087_RS00725
OG0000474	B5M19_RS00405	DR087_RS00730
OG0000475	B5M19_RS00400	DR087_RS00735
OG0000476	B5M19_RS03280	DR087_RS03410
OG0000477	B5M19_RS00950	DR087_RS01310
OG0000478	B5M19_RS00465	DR087_RS00670
OG0000479	B5M19_RS04145	DR087_RS01200
OG0000480	B5M19_RS03895	DR087_RS03730
OG0000481	B5M19_RS01730	DR087_RS02310
OG0000482	B5M19_RS03730	DR087_RS02795
OG0000483	B5M19_RS02735	DR087_RS00115
OG0000484	B5M19_RS00115	DR087_RS04670
OG0000485	B5M19_RS02145	DR087_RS01930
OG0000486	B5M19_RS03205	DR087_RS00270
OG0000487	B5M19_RS00830	DR087_RS04405
OG0000488	B5M19_RS02770	DR087_RS00085
OG0000489	B5M19_RS01885	DR087_RS00480
OG0000490	B5M19_RS01945	DR087_RS00420
OG0000491	B5M19_RS01225	DR087_RS01180
OG0000492	B5M19_RS04140	DR087_RS01105
OG0000493	B5M19_RS02430	DR087_RS02915
OG0000494	B5M19_RS03075	DR087_RS03145
OG0000495	B5M19_RS01430	DR087_RS01395
OG0000497	B5M19_RS01445	DR087_RS01380
OG0000498	B5M19_RS02495	DR087_RS03245
OG0000499	B5M19_RS00870	DR087_RS01235
OG0000500	B5M19_RS00750	DR087_RS01530
OG0000501	B5M19_RS01470	DR087_RS00985
OG0000502	B5M19_RS02350	DR087_RS02785
OG0000503	B5M19_RS04250	DR087_RS02255
OG0000504	B5M19_RS01650	DR087_RS02550
OG0000505	B5M19_RS03420	DR087_RS02625
OG0000506	B5M19_RS03410	DR087_RS02635
OG0000507	B5M19_RS03375	DR087_RS02670
OG0000508	B5M19_RS00170	DR087_RS01770
OG0000509	B5M19_RS00205	DR087_RS01805
OG0000510	B5M19_RS00215	DR087_RS01815
OG0000511	B5M19_RS03685	DR087_RS03045
OG0000512	B5M19_RS01015	DR087_RS02975
OG0000513	B5M19_RS00480	DR087_RS00655
OG0000514	B5M19_RS01405	DR087_RS01420
OG0000515	B5M19_RS04075	DR087_RS01610
OG0000515	B5M19_RS03270	DR087_RS01610
OG0000516	B5M19_RS00835	DR087_RS04410
OG0000517	B5M19_RS01870	DR087_RS00495
OG0000518	B5M19_RS01515	DR087_RS00945
OG0000519	B5M19_RS01760	DR087_RS02280
OG0000520	B5M19_RS01635	DR087_RS02535
OG0000521	B5M19_RS00185	DR087_RS01785
OG0000522	B5M19_RS00220	DR087_RS01820
OG0000523	B5M19_RS00545	DR087_RS00590
OG0000524	B5M19_RS00900	DR087_RS01260
OG0000525	B5M19_RS00575	DR087_RS04645
OG0000526	B5M19_RS04070	DR087_RS04050
OG0000528	B5M19_RS00840	DR087_RS04415
OG0000529	B5M19_RS02935	DR087_RS00205
OG0000530	B5M19_RS02705	DR087_RS01735
OG0000531	B5M19_RS01175	DR087_RS01130
OG0000532	B5M19_RS04500	DR087_RS03180
OG0000533	B5M19_RS04515	DR087_RS03510
OG0000535	B5M19_RS04610	DR087_RS04460
OG0000537	B5M19_RS01820	DR087_RS02220
OG0000538	B5M19_RS04340	DR087_RS01975
OG0000539	B5M19_RS00130	DR087_RS02345
OG0000540	B5M19_RS00930	DR087_RS01290
OG0000541	B5M19_RS00855	DR087_RS01220
OG0000542	B5M19_RS00275	DR087_RS01870
OG0000543	B5M19_RS04430	DR087_RS00345
OG0000544	B5M19_RS04410	DR087_RS04710
OG0000545	B5M19_RS00645	DR087_RS01630
OG0000546	B5M19_RS02545	DR087_RS04305
OG0000547	B5M19_RS01355	DR087_RS01470
OG0000548	B5M19_RS03295	DR087_RS03220
OG0000549	B5M19_RS00585	DR087_RS04650
OG0000550	B5M19_RS04055	DR087_RS00690
