Orthogroup	MHP_TB1_genes	MFC_ATCC27716_genes
OG0000376	B5M19_RS02670	MFC_RS00470
OG0000377	B5M19_RS02680	MFC_RS00480
OG0000378	B5M19_RS02585	MFC_RS00515
OG0000379	B5M19_RS01205	MFC_RS00585
OG0000380	B5M19_RS01180	MFC_RS00610
OG0000381	B5M19_RS01140	MFC_RS00650
OG0000382	B5M19_RS01105	MFC_RS00680
OG0000383	B5M19_RS01070	MFC_RS00720
OG0000384	B5M19_RS02365	MFC_RS00790
OG0000385	B5M19_RS02370	MFC_RS00795
OG0000386	B5M19_RS02390	MFC_RS00815
OG0000387	B5M19_RS02415	MFC_RS00840
OG0000388	B5M19_RS02420	MFC_RS00845
OG0000389	B5M19_RS03095	MFC_RS00880
OG0000390	B5M19_RS01365	MFC_RS00990
OG0000391	B5M19_RS01375	MFC_RS01000
OG0000392	B5M19_RS01400	MFC_RS01030
OG0000393	B5M19_RS03515	MFC_RS01080
OG0000394	B5M19_RS02490	MFC_RS01145
OG0000395	B5M19_RS02485	MFC_RS01150
OG0000396	B5M19_RS02845	MFC_RS01280
OG0000397	B5M19_RS00740	MFC_RS01325
OG0000398	B5M19_RS00745	MFC_RS01330
OG0000399	B5M19_RS00795	MFC_RS01375
OG0000400	B5M19_RS01460	MFC_RS01450
OG0000401	B5M19_RS01525	MFC_RS01510
OG0000402	B5M19_RS01535	MFC_RS01520
OG0000404	B5M19_RS04205	MFC_RS03375, MFC_RS01555
OG0000405	B5M19_RS01590	MFC_RS01570
OG0000406	B5M19_RS03025	MFC_RS01600
OG0000407	B5M19_RS03020	MFC_RS01605
OG0000408	B5M19_RS03015	MFC_RS01610
OG0000409	B5M19_RS03010	MFC_RS01615
OG0000410	B5M19_RS03100	MFC_RS01650
OG0000411	B5M19_RS03110	MFC_RS01660
OG0000412	B5M19_RS03115	MFC_RS01665
OG0000413	B5M19_RS03555	MFC_RS01705
OG0000414	B5M19_RS03545	MFC_RS01715
OG0000415	B5M19_RS03540	MFC_RS01720
OG0000416	B5M19_RS03530	MFC_RS01730
OG0000417	B5M19_RS03225	MFC_RS01760
OG0000418	B5M19_RS03230	MFC_RS01765
OG0000419	B5M19_RS01835	MFC_RS01825
OG0000420	B5M19_RS01800	MFC_RS01860
OG0000421	B5M19_RS01765	MFC_RS01890
OG0000422	B5M19_RS01755	MFC_RS01900
OG0000423	B5M19_RS01700	MFC_RS01955
OG0000424	B5M19_RS01695	MFC_RS01960
OG0000425	B5M19_RS01685	MFC_RS01970
OG0000426	B5M19_RS01680	MFC_RS01975
OG0000427	B5M19_RS01655	MFC_RS02000
OG0000428	B5M19_RS01630	MFC_RS02030
OG0000430	B5M19_RS03170	MFC_RS02165
OG0000431	B5M19_RS03180	MFC_RS02175
OG0000432	B5M19_RS04345	MFC_RS02195
OG0000433	B5M19_RS02200	MFC_RS02205
OG0000434	B5M19_RS02195	MFC_RS02210
OG0000435	B5M19_RS02180	MFC_RS02225
OG0000436	B5M19_RS02150	MFC_RS03535
OG0000437	B5M19_RS02140	MFC_RS02270
OG0000438	B5M19_RS02135	MFC_RS02275
OG0000439	B5M19_RS02130	MFC_RS02280
OG0000440	B5M19_RS04165	MFC_RS02295
OG0000441	B5M19_RS01265	MFC_RS02335
OG0000442	B5M19_RS00055	MFC_RS02350
OG0000443	B5M19_RS00105	MFC_RS02410
OG0000444	B5M19_RS00120	MFC_RS02425
OG0000445	B5M19_RS00145	MFC_RS02450
OG0000446	B5M19_RS00175	MFC_RS02480
OG0000447	B5M19_RS00180	MFC_RS02485
OG0000448	B5M19_RS00210	MFC_RS02515
OG0000449	B5M19_RS00235	MFC_RS02540
OG0000450	B5M19_RS00245	MFC_RS02550
OG0000451	B5M19_RS00295	MFC_RS02590
OG0000452	B5M19_RS00330	MFC_RS02615
OG0000453	B5M19_RS04040	MFC_RS02650
OG0000454	B5M19_RS03255	MFC_RS03440, MFC_RS03435
OG0000455	B5M19_RS00395	MFC_RS02700
OG0000456	B5M19_RS00515	MFC_RS02815
OG0000457	B5M19_RS00540	MFC_RS02840
OG0000458	B5M19_RS01055	MFC_RS02885
OG0000459	B5M19_RS01030	MFC_RS02910
OG0000460	B5M19_RS01020	MFC_RS02920
OG0000461	B5M19_RS04125	MFC_RS03080
OG0000462	B5M19_RS00980	MFC_RS03085
OG0000463	B5M19_RS04130	MFC_RS03090
OG0000464	B5M19_RS00990	MFC_RS03100
OG0000465	B5M19_RS00995	MFC_RS03105
OG0000467	B5M19_RS00895	MFC_RS03500
OG0000468	B5M19_RS00790	MFC_RS01370
OG0000469	B5M19_RS00850	MFC_RS00045
OG0000470	B5M19_RS03910	MFC_RS01950
OG0000471	B5M19_RS01625	MFC_RS02035
OG0000472	B5M19_RS00580	MFC_RS01680
OG0000473	B5M19_RS00410	MFC_RS02715
OG0000474	B5M19_RS00405	MFC_RS02710
OG0000475	B5M19_RS00400	MFC_RS02705
OG0000476	B5M19_RS03280	MFC_RS00345
OG0000477	B5M19_RS00950	MFC_RS03055
OG0000478	B5M19_RS00465	MFC_RS02770
OG0000479	B5M19_RS04145	MFC_RS00545
OG0000480	B5M19_RS03895	MFC_RS03300
OG0000481	B5M19_RS01730	MFC_RS01925
OG0000482	B5M19_RS03730	MFC_RS01790
OG0000483	B5M19_RS02735	MFC_RS00095
OG0000484	B5M19_RS00115	MFC_RS02420
OG0000487	B5M19_RS00830	MFC_RS00025
OG0000488	B5M19_RS02770	MFC_RS00065
OG0000489	B5M19_RS01885	MFC_RS00185
OG0000490	B5M19_RS01945	MFC_RS00245
OG0000491	B5M19_RS01225	MFC_RS00565
OG0000492	B5M19_RS04140	MFC_RS00640
OG0000493	B5M19_RS02430	MFC_RS00855
OG0000494	B5M19_RS03075	MFC_RS00905
OG0000495	B5M19_RS01430	MFC_RS01055
OG0000497	B5M19_RS01445	MFC_RS01070
OG0000498	B5M19_RS02495	MFC_RS01140
OG0000499	B5M19_RS00870	MFC_RS01185
OG0000500	B5M19_RS00750	MFC_RS01335
OG0000501	B5M19_RS01470	MFC_RS01460
OG0000502	B5M19_RS02350	MFC_RS01800
OG0000503	B5M19_RS04250	MFC_RS01870
OG0000504	B5M19_RS01650	MFC_RS02005
OG0000505	B5M19_RS03420	MFC_RS02045
OG0000506	B5M19_RS03410	MFC_RS02055
OG0000507	B5M19_RS03375	MFC_RS02090
OG0000508	B5M19_RS00170	MFC_RS02475
OG0000509	B5M19_RS00205	MFC_RS02510
OG0000510	B5M19_RS00215	MFC_RS02520
OG0000511	B5M19_RS03685	MFC_RS02655
OG0000512	B5M19_RS01015	MFC_RS02925
OG0000513	B5M19_RS00480	MFC_RS02785
OG0000516	B5M19_RS00835	MFC_RS00030
OG0000517	B5M19_RS01870	MFC_RS00170
OG0000518	B5M19_RS01515	MFC_RS01500
OG0000519	B5M19_RS01760	MFC_RS01895
OG0000520	B5M19_RS01635	MFC_RS02025
OG0000521	B5M19_RS00185	MFC_RS02490
OG0000522	B5M19_RS00220	MFC_RS02525
OG0000523	B5M19_RS00545	MFC_RS02845
OG0000524	B5M19_RS00900	MFC_RS03015
OG0000525	B5M19_RS00575	MFC_RS01685
OG0000528	B5M19_RS00840	MFC_RS00035
OG0000529	B5M19_RS02935	MFC_RS00430
OG0000530	B5M19_RS02705	MFC_RS00495
OG0000531	B5M19_RS01175	MFC_RS00615
OG0000532	B5M19_RS04500	MFC_RS00940
OG0000533	B5M19_RS04515	MFC_RS02185
OG0000535	B5M19_RS04610	MFC_RS00190
OG0000536	B5M19_RS00365	MFC_RS00315
OG0000537	B5M19_RS01820	MFC_RS01840
OG0000538	B5M19_RS04340	MFC_RS02215
OG0000539	B5M19_RS00130	MFC_RS02435
OG0000540	B5M19_RS00930	MFC_RS03035
OG0000541	B5M19_RS00855	MFC_RS01170
OG0000542	B5M19_RS00275	MFC_RS02575
OG0000547	B5M19_RS01355	MFC_RS00980
OG0000548	B5M19_RS03295	MFC_RS01285
OG0000549	B5M19_RS00585	MFC_RS01675
OG0000550	B5M19_RS04055	MFC_RS02750
OG0000551	B5M19_RS01275	MFC_RS02325
OG0000555	B5M19_RS01350	MFC_RS03340
OG0000596	B5M19_RS02110	MFC_RS02370
OG0000598	B5M19_RS02115	MFC_RS02365
OG0000599	B5M19_RS02120	MFC_RS02360
