Orthogroup	MHP_133A_genes	MHP_MHP691_genes
OG0000488	NB626_RS02180	DR087_RS00085
OG0000489	NB626_RS00050	DR087_RS00480
OG0000490	NB626_RS03815	DR087_RS00420
OG0000491	NB626_RS01465	DR087_RS01180
OG0000492	NB626_RS01545	DR087_RS01105
OG0000493	NB626_RS00680	DR087_RS02915
OG0000494	NB626_RS00740	DR087_RS03145
OG0000496	NB626_RS03010	DR087_RS01385
OG0000497	NB626_RS03005	DR087_RS01380
OG0000498	NB626_RS02920	DR087_RS03245
OG0000499	NB626_RS02885	DR087_RS01235
OG0000501	NB626_RS03250	DR087_RS00985
OG0000502	NB626_RS01315	DR087_RS02785
OG0000503	NB626_RS00865	DR087_RS02255
OG0000504	NB626_RS01015	DR087_RS02550
OG0000505	NB626_RS01055	DR087_RS02625
OG0000507	NB626_RS01100	DR087_RS02670
OG0000509	NB626_RS00285	DR087_RS01805
OG0000510	NB626_RS00295	DR087_RS01815
OG0000511	NB626_RS00530	DR087_RS03045
OG0000512	NB626_RS02735	DR087_RS02975
OG0000513	NB626_RS03635	DR087_RS00655
OG0000514	NB626_RS03045	DR087_RS01420
OG0000517	NB626_RS00065	DR087_RS00495
OG0000518	NB626_RS03295	DR087_RS00945
OG0000519	NB626_RS00900	DR087_RS02280
OG0000522	NB626_RS00300	DR087_RS01820
OG0000523	NB626_RS03560	DR087_RS00590
OG0000524	NB626_RS02855	DR087_RS01260
OG0000525	NB626_RS03520	DR087_RS04645
OG0000526	NB626_RS01960, NB626_RS01955	DR087_RS04050
OG0000530	NB626_RS02505	DR087_RS01735
OG0000532	NB626_RS01730, NB626_RS01735	DR087_RS03180
OG0000533	NB626_RS00700	DR087_RS03510
OG0000534	NB626_RS00385	DR087_RS01900
OG0000540	NB626_RS02825	DR087_RS01290
OG0000541	NB626_RS02900	DR087_RS01220
OG0000543	NB626_RS00510	DR087_RS00345
OG0000544	NB626_RS01370	DR087_RS04710
OG0000545	NB626_RS01945	DR087_RS01630
OG0000546	NB626_RS02970	DR087_RS04305
OG0000551	NB626_RS03165	DR087_RS03385
OG0000553	NB626_RS02870	DR087_RS04565
OG0000554	NB626_RS02560	DR087_RS01690
OG0000555	NB626_RS03100	DR087_RS04580
OG0000556	NB626_RS00450	DR087_RS04430
OG0000557	NB626_RS01380	DR087_RS02850
OG0000558	NB626_RS01350	DR087_RS02820
OG0000559	NB626_RS01815	DR087_RS02085
OG0000560	NB626_RS01930	DR087_RS01645
OG0000561	NB626_RS01230	DR087_RS01990
OG0000562	NB626_RS01935	DR087_RS01640
OG0000563	NB626_RS01925	DR087_RS01655
OG0000564	NB626_RS01410	DR087_RS03320
OG0000565	NB626_RS02000	DR087_RS01590
OG0000566	NB626_RS01980	DR087_RS01600
OG0000567	NB626_RS01950	DR087_RS01625
OG0000568	NB626_RS00785	DR087_RS02180
OG0000569	NB626_RS01355	DR087_RS02825
OG0000570	NB626_RS01360	DR087_RS04705
OG0000571	NB626_RS01365	DR087_RS02835
OG0000572	NB626_RS01385	DR087_RS02855
OG0000573	NB626_RS01810	DR087_RS02080
OG0000574	NB626_RS01425	DR087_RS03300
OG0000575	NB626_RS01345	DR087_RS02810
OG0000576	NB626_RS01765	DR087_RS02035
OG0000577	NB626_RS02840	DR087_RS01270
OG0000578	NB626_RS02865	DR087_RS01250
OG0000580	NB626_RS02975	DR087_RS04010
OG0000582	NB626_RS01375	DR087_RS04715
OG0000583	NB626_RS01800	DR087_RS02070
OG0000584	NB626_RS00475	DR087_RS00315
OG0000585	NB626_RS02365	DR087_RS00170
OG0000586	NB626_RS01785	DR087_RS02055
