Orthogroup	MHP_J_genes	MHP_TB1_genes
OG0000369	MHJ_RS00025	B5M19_RS01910
OG0000370	MHJ_RS00020	B5M19_RS01915
OG0000371	MHJ_RS00015	B5M19_RS01920
OG0000372	MHJ_RS00010	B5M19_RS01925
OG0000373	MHJ_RS03565	B5M19_RS01950
OG0000374	MHJ_RS03555	B5M19_RS01960
OG0000375	MHJ_RS02175	B5M19_RS02950
OG0000376	MHJ_RS02320	B5M19_RS02670
OG0000377	MHJ_RS02310	B5M19_RS02680
OG0000378	MHJ_RS01265	B5M19_RS02585
OG0000379	MHJ_RS01340	B5M19_RS01205
OG0000380	MHJ_RS01365	B5M19_RS01180
OG0000381	MHJ_RS01405	B5M19_RS01140
OG0000382	MHJ_RS01435	B5M19_RS01105
OG0000383	MHJ_RS01475	B5M19_RS01070
OG0000384	MHJ_RS00500	B5M19_RS02365
OG0000385	MHJ_RS00505	B5M19_RS02370
OG0000386	MHJ_RS00525	B5M19_RS02390
OG0000387	MHJ_RS00550	B5M19_RS02415
OG0000388	MHJ_RS00555	B5M19_RS02420
OG0000389	MHJ_RS00600	B5M19_RS03095
OG0000390	MHJ_RS02875	B5M19_RS01365
OG0000391	MHJ_RS02865	B5M19_RS01375
OG0000392	MHJ_RS02835	B5M19_RS01400
OG0000393	MHJ_RS02780	B5M19_RS03515
OG0000394	MHJ_RS02695	B5M19_RS02490
OG0000395	MHJ_RS02690	B5M19_RS02485
OG0000396	MHJ_RS02380	B5M19_RS02845
OG0000397	MHJ_RS01870	B5M19_RS00740
OG0000398	MHJ_RS01875	B5M19_RS00745
OG0000399	MHJ_RS01925	B5M19_RS00795
OG0000400	MHJ_RS03030	B5M19_RS01460
OG0000401	MHJ_RS03090	B5M19_RS01525
OG0000402	MHJ_RS03100	B5M19_RS01535
OG0000404	MHJ_RS03140	B5M19_RS04205
OG0000405	MHJ_RS03155	B5M19_RS01590
OG0000406	MHJ_RS03220	B5M19_RS03025
OG0000407	MHJ_RS03225	B5M19_RS03020
OG0000408	MHJ_RS03230	B5M19_RS03015
OG0000409	MHJ_RS03235	B5M19_RS03010
OG0000410	MHJ_RS03290	B5M19_RS03100
OG0000411	MHJ_RS03280	B5M19_RS03110
OG0000412	MHJ_RS03275	B5M19_RS03115
