Orthogroup	MHP_UFV02_genes	MFC_MF11_genes
OG0000517	FEF31_RS03350	DR093_RS00125
OG0000518	FEF31_RS03675	DR093_RS02245
OG0000519	FEF31_RS00440	DR093_RS02425
OG0000520	FEF31_RS00565	DR093_RS01525
OG0000521	FEF31_RS03535	DR093_RS00285
OG0000522	FEF31_RS03570	DR093_RS00320
OG0000523	FEF31_RS03035	DR093_RS01405
OG0000524	FEF31_RS02410	DR093_RS00940
OG0000525	FEF31_RS04585	DR093_RS03895
OG0000528	FEF31_RS01760	DR093_RS02950
OG0000529	FEF31_RS01980	DR093_RS01880
OG0000530	FEF31_RS02080	DR093_RS01945
OG0000531	FEF31_RS01060	DR093_RS02065
OG0000533	FEF31_RS00260	DR093_RS01690
OG0000534	FEF31_RS00045	DR093_RS00400
OG0000535	FEF31_RS04655	DR093_RS00105
OG0000536	FEF31_RS03215	DR093_RS01195
OG0000537	FEF31_RS00380	DR093_RS02485
OG0000538	FEF31_RS00780	DR093_RS01720
OG0000539	FEF31_RS03485	DR093_RS00235
OG0000541	FEF31_RS02460	DR093_RS00900
OG0000542	FEF31_RS00015	DR093_RS00370
OG0000547	FEF31_RS02650	DR093_RS00700
OG0000548	FEF31_RS01255	DR093_RS02695
OG0000549	FEF31_RS04580	DR093_RS01440
OG0000550	FEF31_RS03135	DR093_RS01305
OG0000555	FEF31_RS02655	DR093_RS03360
OG0000589	FEF31_RS01890	DR093_RS02830
OG0000596	FEF31_RS01490	DR093_RS00170
OG0000598	FEF31_RS01495	DR093_RS00165
OG0000599	FEF31_RS01500	DR093_RS00160
