Orthogroup	MHP_UFV02_genes	MFC_ATCC27716_genes
OG0000383	FEF31_RS01165	MFC_RS00720
OG0000384	FEF31_RS00175	MFC_RS00790
OG0000385	FEF31_RS00180	MFC_RS00795
OG0000386	FEF31_RS00200	MFC_RS00815
OG0000387	FEF31_RS00225	MFC_RS00840
OG0000388	FEF31_RS04370	MFC_RS00845
OG0000389	FEF31_RS00275	MFC_RS00880
OG0000390	FEF31_RS02640	MFC_RS00990
OG0000391	FEF31_RS02630	MFC_RS01000
OG0000392	FEF31_RS02605	MFC_RS01030
OG0000393	FEF31_RS04550	MFC_RS01080
OG0000394	FEF31_RS02475	MFC_RS01145
OG0000395	FEF31_RS02470	MFC_RS01150
OG0000396	FEF31_RS02160	MFC_RS01280
OG0000397	FEF31_RS01665	MFC_RS01325
OG0000398	FEF31_RS01670	MFC_RS01330
OG0000399	FEF31_RS01715	MFC_RS01375
OG0000400	FEF31_RS03625	MFC_RS01450
OG0000401	FEF31_RS03685	MFC_RS01510
OG0000402	FEF31_RS03695	MFC_RS01520
OG0000403	FEF31_RS03705	MFC_RS01530
OG0000404	FEF31_RS03730	MFC_RS03375, MFC_RS01555
OG0000405	FEF31_RS04800	MFC_RS01570
OG0000406	FEF31_RS03805	MFC_RS01600
OG0000407	FEF31_RS04695	MFC_RS01605
OG0000408	FEF31_RS03815	MFC_RS01610
OG0000409	FEF31_RS03820	MFC_RS01615
OG0000410	FEF31_RS02985	MFC_RS01650
OG0000411	FEF31_RS02975	MFC_RS01660
OG0000412	FEF31_RS02970	MFC_RS01665
OG0000413	FEF31_RS01180	MFC_RS01705
OG0000414	FEF31_RS01190	MFC_RS01715
OG0000415	FEF31_RS01195	MFC_RS01720
OG0000416	FEF31_RS01205	MFC_RS01730
OG0000417	FEF31_RS02025	MFC_RS01760
OG0000418	FEF31_RS02020	MFC_RS01765
OG0000419	FEF31_RS00365	MFC_RS01825
OG0000420	FEF31_RS00400	MFC_RS01860
OG0000421	FEF31_RS00435	MFC_RS01890
OG0000422	FEF31_RS00445	MFC_RS01900
OG0000423	FEF31_RS00500	MFC_RS01955
OG0000424	FEF31_RS00505	MFC_RS01960
OG0000425	FEF31_RS00515	MFC_RS01970
OG0000426	FEF31_RS04385	MFC_RS01975
OG0000427	FEF31_RS04390	MFC_RS02000
OG0000428	FEF31_RS00570	MFC_RS02030
OG0000429	FEF31_RS00665	MFC_RS02120
OG0000430	FEF31_RS00710	MFC_RS02165
OG0000431	FEF31_RS00720	MFC_RS02175
OG0000432	FEF31_RS00755	MFC_RS02195
OG0000433	FEF31_RS00770	MFC_RS02205
OG0000434	FEF31_RS00775	MFC_RS02210
OG0000435	FEF31_RS00790	MFC_RS02225
OG0000436	FEF31_RS00815	MFC_RS03535
OG0000437	FEF31_RS00825	MFC_RS02270
OG0000438	FEF31_RS00830	MFC_RS02275
OG0000439	FEF31_RS04400	MFC_RS02280
OG0000440	FEF31_RS02690	MFC_RS02295
OG0000441	FEF31_RS02725	MFC_RS02335
OG0000442	FEF31_RS03415	MFC_RS02350
