Orthogroup	MHP_MHP709_genes	MHP_MHP691_genes
OG0000451	DR088_RS01150	DR087_RS01885
OG0000452	DR088_RS01125	DR087_RS03005
OG0000453	DR088_RS01090	DR087_RS03040
OG0000455	DR088_RS02095	DR087_RS00740
OG0000456	DR088_RS02225	DR087_RS00620
OG0000457	DR088_RS02250	DR087_RS00595
OG0000458	DR088_RS03175	DR087_RS02935
OG0000459	DR088_RS03150	DR087_RS02960
OG0000460	DR088_RS03140	DR087_RS02970
OG0000461	DR088_RS00020	DR087_RS01335
OG0000462	DR088_RS00015	DR087_RS01340
OG0000463	DR088_RS00010	DR087_RS01350
OG0000464	DR088_RS03110	DR087_RS03000
OG0000465	DR088_RS03115	DR087_RS02995
OG0000466	DR088_RS01120	DR087_RS03010
OG0000467	DR088_RS04290	DR087_RS04570
OG0000468	DR088_RS00575	DR087_RS00010
OG0000469	DR088_RS00635	DR087_RS00070
OG0000470	DR088_RS03670	DR087_RS03755
OG0000471	DR088_RS01705	DR087_RS02525
OG0000472	DR088_RS02040	DR087_RS02125
OG0000473	DR088_RS02080	DR087_RS00725
OG0000474	DR088_RS02085	DR087_RS00730
OG0000475	DR088_RS02090	DR087_RS00735
OG0000476	DR088_RS02590	DR087_RS03410
OG0000477	DR088_RS00045	DR087_RS01310
OG0000478	DR088_RS02175	DR087_RS00670
OG0000479	DR088_RS02605	DR087_RS01200
OG0000480	DR088_RS03655	DR087_RS03730
OG0000481	DR088_RS02715	DR087_RS02310
OG0000482	DR088_RS00910	DR087_RS02795
OG0000483	DR088_RS00680	DR087_RS00115
OG0000484	DR088_RS04385	DR087_RS04670
OG0000485	DR088_RS00865	DR087_RS01930
OG0000486	DR088_RS02945	DR087_RS00270
OG0000487	DR088_RS04335	DR087_RS04405
OG0000488	DR088_RS00650	DR087_RS00085
OG0000489	DR088_RS01900	DR087_RS00480
OG0000490	DR088_RS01840	DR087_RS00420
OG0000491	DR088_RS02625	DR087_RS01180
OG0000492	DR088_RS02700	DR087_RS01105
OG0000493	DR088_RS03050	DR087_RS02915
OG0000494	DR088_RS00740	DR087_RS03145
OG0000495	DR088_RS00250	DR087_RS01395
OG0000496	DR088_RS00240	DR087_RS01385
OG0000497	DR088_RS00235	DR087_RS01380
OG0000498	DR088_RS00155	DR087_RS03245
OG0000499	DR088_RS00120	DR087_RS01235
OG0000500	DR088_RS00540	DR087_RS01530
OG0000501	DR088_RS01405	DR087_RS00985
OG0000502	DR088_RS00900	DR087_RS02785
OG0000503	DR088_RS02770	DR087_RS02255
OG0000504	DR088_RS01730	DR087_RS02550
OG0000505	DR088_RS01695	DR087_RS02625
OG0000506	DR088_RS01685	DR087_RS02635
OG0000507	DR088_RS01650	DR087_RS02670
OG0000508	DR088_RS01265	DR087_RS01770
OG0000509	DR088_RS01230	DR087_RS01805
OG0000510	DR088_RS01220	DR087_RS01815
OG0000511	DR088_RS01085	DR087_RS03045
OG0000512	DR088_RS03135	DR087_RS02975
OG0000513	DR088_RS02190	DR087_RS00655
OG0000514	DR088_RS00275	DR087_RS01420
OG0000515	DR088_RS00445	DR087_RS01610
OG0000516	DR088_RS04340	DR087_RS04410
OG0000517	DR088_RS01915	DR087_RS00495
OG0000518	DR088_RS01450	DR087_RS00945
OG0000519	DR088_RS02745	DR087_RS02280
OG0000520	DR088_RS01715	DR087_RS02535
OG0000521	DR088_RS01250	DR087_RS01785
OG0000522	DR088_RS01215	DR087_RS01820
OG0000523	DR088_RS02255	DR087_RS00590
OG0000524	DR088_RS00095	DR087_RS01260
OG0000525	DR088_RS04440	DR087_RS04645
OG0000526	DR088_RS03780	DR087_RS04050
OG0000528	DR088_RS04345	DR087_RS04415
OG0000529	DR088_RS02880	DR087_RS00205
OG0000530	DR088_RS02435	DR087_RS01735
OG0000531	DR088_RS02675	DR087_RS01130
OG0000532	DR088_RS04600	DR087_RS03180
OG0000533	DR088_RS00780	DR087_RS03510
OG0000534	DR088_RS01135	DR087_RS01900
OG0000535	DR088_RS04420	DR087_RS04460
OG0000537	DR088_RS02805	DR087_RS02220
OG0000538	DR088_RS00820	DR087_RS01975
OG0000539	DR088_RS01305	DR087_RS02345
OG0000540	DR088_RS00065	DR087_RS01290
OG0000541	DR088_RS00135	DR087_RS01220
OG0000542	DR088_RS01165	DR087_RS01870
OG0000544	DR088_RS04370	DR087_RS04710
OG0000545	DR088_RS00420	DR087_RS01630
OG0000546	DR088_RS03745	DR087_RS04305
OG0000547	DR088_RS00325	DR087_RS01470
OG0000548	DR088_RS03345	DR087_RS03220
OG0000549	DR088_RS04435	DR087_RS04650
OG0000550	DR088_RS02155	DR087_RS00690
OG0000551	DR088_RS03225	DR087_RS03385
OG0000552	DR088_RS01485	DR087_RS00910
OG0000553	DR088_RS04295	DR087_RS04565
