Orthogroup	MHP_111A_genes	MHP_TB1_genes
OG0000462	NB623_RS02750	B5M19_RS00980
OG0000463	NB623_RS02745	B5M19_RS04130
OG0000464	NB623_RS02740	B5M19_RS00990
OG0000465	NB623_RS02735	B5M19_RS00995
OG0000467	NB623_RS02845	B5M19_RS00895
OG0000468	NB623_RS02130	B5M19_RS00790
OG0000469	NB623_RS02070	B5M19_RS00850
OG0000470	NB623_RS00850	B5M19_RS03910
OG0000471	NB623_RS00930	B5M19_RS01625
OG0000472	NB623_RS03500	B5M19_RS00580
OG0000473	NB623_RS03690	B5M19_RS00410
OG0000474	NB623_RS03695	B5M19_RS00405
OG0000475	NB623_RS03700	B5M19_RS00400
OG0000476	NB623_RS01675	B5M19_RS03280
OG0000477	NB623_RS02785	B5M19_RS00950
OG0000478	NB623_RS03630	B5M19_RS00465
OG0000479	NB623_RS01445	B5M19_RS04145
OG0000480	NB623_RS02065	B5M19_RS03895
OG0000481	NB623_RS00825	B5M19_RS01730
OG0000482	NB623_RS01330	B5M19_RS03730
OG0000483	NB623_RS02020	B5M19_RS02735
OG0000484	NB623_RS00190	B5M19_RS00115
OG0000485	NB623_RS01295	B5M19_RS02145
OG0000486	NB623_RS02450	B5M19_RS03205
OG0000488	NB623_RS02055	B5M19_RS02770
OG0000490	NB623_RS03800	B5M19_RS01945
OG0000493	NB623_RS00575	B5M19_RS02430
OG0000494	NB623_RS00635	B5M19_RS03075
OG0000495	NB623_RS03005	B5M19_RS01430
OG0000497	NB623_RS02985	B5M19_RS01445
OG0000498	NB623_RS02900	B5M19_RS02495
OG0000499	NB623_RS02865	B5M19_RS00870
OG0000500	NB623_RS02165	B5M19_RS00750
OG0000501	NB623_RS03220	B5M19_RS01470
OG0000502	NB623_RS01320	B5M19_RS02350
OG0000503	NB623_RS00765	B5M19_RS04250
OG0000504	NB623_RS00905	B5M19_RS01650
OG0000505	NB623_RS01065	B5M19_RS03420
OG0000506	NB623_RS01075	B5M19_RS03410
OG0000507	NB623_RS01110	B5M19_RS03375
OG0000509	NB623_RS00275	B5M19_RS00205
OG0000510	NB623_RS00285	B5M19_RS00215
OG0000511	NB623_RS00420	B5M19_RS03685
OG0000512	NB623_RS02715	B5M19_RS01015
OG0000514	NB623_RS03025	B5M19_RS01405
OG0000516	NB623_RS02090	B5M19_RS00835
OG0000517	NB623_RS00065	B5M19_RS01870
OG0000519	NB623_RS00795	B5M19_RS01760
OG0000520	NB623_RS00920	B5M19_RS01635
OG0000522	NB623_RS00290	B5M19_RS00220
OG0000523	NB623_RS03540	B5M19_RS00545
OG0000524	NB623_RS02840	B5M19_RS00900
OG0000525	NB623_RS03505	B5M19_RS00575
OG0000526	NB623_RS02260	B5M19_RS04070
OG0000527	NB623_RS02315	B5M19_RS04065
OG0000528	NB623_RS02080	B5M19_RS00840
OG0000531	NB623_RS01520	B5M19_RS01175
OG0000532	NB623_RS01745	B5M19_RS04500
OG0000533	NB623_RS00595	B5M19_RS04515
OG0000536	NB623_RS03735	B5M19_RS00365
OG0000540	NB623_RS02805	B5M19_RS00930
OG0000541	NB623_RS02880	B5M19_RS00855
OG0000543	NB623_RS01930	B5M19_RS04430
OG0000544	NB623_RS01375	B5M19_RS04410, B5M19_RS04405
OG0000545	NB623_RS02270	B5M19_RS00645
OG0000546	NB623_RS02950	B5M19_RS02545
OG0000552	NB623_RS03300	B5M19_RS01550
OG0000553	NB623_RS02855	B5M19_RS00885
OG0000554	NB623_RS02535	B5M19_RS02655
OG0000555	NB623_RS03080	B5M19_RS01350
OG0000556	NB623_RS01970	B5M19_RS02885
OG0000557	NB623_RS01385	B5M19_RS02615
OG0000558	NB623_RS01355	B5M19_RS03655
OG0000559	NB623_RS01825	B5M19_RS02075
OG0000560	NB623_RS02290	B5M19_RS00635
OG0000561	NB623_RS01240	B5M19_RS02205
OG0000562	NB623_RS02280	B5M19_RS00640
OG0000563	NB623_RS02295	B5M19_RS00625
OG0000564	NB623_RS01405	B5M19_RS03930
