Orthogroup	MHP_F72C_genes	MHP_111A_genes
OG0000427	EHI52_RS00890	NB623_RS00900
OG0000428	EHI52_RS00915	NB623_RS00925
OG0000429	EHI52_RS01080	NB623_RS01145
OG0000430	EHI52_RS01125	NB623_RS01190
OG0000431	EHI52_RS01135	NB623_RS01200
OG0000432	EHI52_RS01170	NB623_RS01230
OG0000433	EHI52_RS01185	NB623_RS01245
OG0000434	EHI52_RS01190	NB623_RS01255
OG0000435	EHI52_RS01205	NB623_RS01265
OG0000436	EHI52_RS01235	NB623_RS01290
OG0000437	EHI52_RS01245	NB623_RS01300
OG0000438	EHI52_RS01250	NB623_RS01305
OG0000439	EHI52_RS01255	NB623_RS01310
OG0000440	EHI52_RS02945	NB623_RS03115
OG0000441	EHI52_RS02985	NB623_RS03150
OG0000442	EHI52_RS00145	NB623_RS00135
OG0000443	EHI52_RS00195	NB623_RS00180
OG0000444	EHI52_RS00210	NB623_RS00195
OG0000445	EHI52_RS00235	NB623_RS00220
OG0000446	EHI52_RS00265	NB623_RS00245
OG0000447	EHI52_RS00270	NB623_RS00255
OG0000448	EHI52_RS00300	NB623_RS00280
OG0000449	EHI52_RS00325	NB623_RS00305
OG0000450	EHI52_RS00335	NB623_RS00315
OG0000451	EHI52_RS00380	NB623_RS00355
OG0000452	EHI52_RS00405	NB623_RS00380
OG0000453	EHI52_RS00440	NB623_RS00415
OG0000455	EHI52_RS03510	NB623_RS03705
OG0000456	EHI52_RS03390	NB623_RS03580
OG0000457	EHI52_RS03365	NB623_RS03545
OG0000458	EHI52_RS02510	NB623_RS02670
OG0000459	EHI52_RS02535	NB623_RS02700
OG0000460	EHI52_RS02545	NB623_RS02710
OG0000461	EHI52_RS02590	NB623_RS02755
OG0000462	EHI52_RS02585	NB623_RS02750
OG0000463	EHI52_RS02580	NB623_RS02745
OG0000464	EHI52_RS02575	NB623_RS02740
OG0000465	EHI52_RS02570	NB623_RS02735
OG0000466	EHI52_RS00410	NB623_RS00385
OG0000467	EHI52_RS02670	NB623_RS02845
OG0000468	EHI52_RS01970	NB623_RS02130
OG0000469	EHI52_RS01910	NB623_RS02070
OG0000470	EHI52_RS03650	NB623_RS00850
OG0000471	EHI52_RS00920	NB623_RS00930
OG0000472	EHI52_RS03340	NB623_RS03500
OG0000473	EHI52_RS03495	NB623_RS03690
OG0000474	EHI52_RS03500	NB623_RS03695
OG0000475	EHI52_RS03505	NB623_RS03700
OG0000476	EHI52_RS01615	NB623_RS01675
OG0000477	EHI52_RS02615	NB623_RS02785
OG0000478	EHI52_RS03440	NB623_RS03630
OG0000479	EHI52_RS01390	NB623_RS01445
