E5E95_RS03685 WP_135619151.1
E5E95_RS03695 WP_011206502.1
E5E95_RS03700 WP_011206503.1
E5E95_RS03705 WP_135619152.1
E5E95_RS03710 WP_011206505.1
E5E95_RS03715 WP_011206506.1
E5E95_RS03720 WP_011284377.1
E5E95_RS03725 WP_135619154.1
E5E95_RS03730 WP_135619156.1
E5E95_RS03735 WP_011206510.1
E5E95_RS03740 WP_135619158.1
E5E95_RS03745 WP_135619160.1
E5E95_RS03750 WP_135619162.1
E5E95_RS03755 WP_135618734.1
E5E95_RS03760 WP_135619164.1
E5E95_RS03765 WP_135619166.1
E5E95_RS03770 WP_240536358.1
E5E95_RS03790 WP_135619167.1
E5E95_RS03795 WP_050195472.1
E5E95_RS03800 WP_135619169.1
E5E95_RS03805 WP_011206522.1
