MHL_RS03195 WP_020835882.1
MHL_RS03200 WP_020835883.1
MHL_RS03205 WP_020835883.1
MHL_RS03210 WP_020835886.1
MHL_RS03215 WP_020835887.1
MHL_RS03225 WP_020835888.1
MHL_RS03230 WP_020835889.1
MHL_RS03235 WP_011206453.1
MHL_RS03240 WP_041361699.1
MHL_RS03245 WP_020835892.1
MHL_RS03250 WP_011290391.1
MHL_RS03255 WP_011206457.1
MHL_RS03260 WP_011206458.1
MHL_RS03270 WP_011206459.1
MHL_RS03275 WP_020835893.1
MHL_RS03280 WP_236607956.1
MHL_RS03285 WP_020835895.1
MHL_RS03290 WP_020835896.1
MHL_RS04100 WP_236607957.1
MHL_RS03295 WP_020835897.1
MHL_RS03300 WP_011290399.1
MHL_RS03305 WP_011290400.1
MHL_RS03310 WP_011290401.1
MHL_RS03315 WP_011206469.1
MHL_RS03320 WP_020835899.1
MHL_RS03325 WP_020835900.1
MHL_RS03330 WP_011290405.1
MHL_RS03335 WP_236607958.1
MHL_RS03340 WP_020835902.1
MHL_RS03755 WP_020835902.1
MHL_RS03350 WP_236607959.1
MHL_RS03355 WP_020835904.1
MHL_RS03360 WP_020835905.1
MHL_RS03365 WP_020835906.1
MHL_RS03370 WP_020835907.1
MHL_RS03375 WP_020835908.1
MHL_RS03380 WP_011206484.1
MHL_RS03385 WP_011206485.1
MHL_RS03390 WP_020835909.1
MHL_RS03395 WP_011206487.1
MHL_RS03405 WP_011206488.1
MHL_RS03410 WP_232039558.1
MHL_RS03760 WP_011290416.1
MHL_RS03415 WP_011206490.1
MHL_RS03420 WP_011290418.1
MHL_RS03425 WP_041361708.1
MHL_RS03430 WP_011206493.1
MHL_RS03435 WP_011206494.1
MHL_RS03440 WP_011284367.1
MHL_RS03445 WP_011290421.1
MHL_RS03450 WP_020835912.1
MHL_RS03455 WP_011290423.1
MHL_RS03460 WP_020835913.1
MHL_RS03640 WP_236607960.1
MHL_RS03475 WP_011206502.1
MHL_RS03480 WP_011284373.1
MHL_RS03485 WP_020835915.1
MHL_RS03490 WP_020835916.1
MHL_RS03495 WP_020835917.1
MHL_RS03500 WP_041361711.1
MHL_RS03505 WP_020835919.1
MHL_RS03510 WP_041361713.1
MHL_RS03515 WP_011206510.1
MHL_RS03520 WP_020835921.1
MHL_RS03525 WP_020835922.1
MHL_RS03530 WP_020835923.1
MHL_RS03535 WP_020835924.1
MHL_RS04105 WP_020835925.1
MHL_RS03540 WP_020835926.1
MHL_RS03545 WP_020835927.1
MHL_RS03550 WP_020835928.1
MHL_RS03565 WP_020835930.1
MHL_RS03570 WP_011290441.1
MHL_RS03575 WP_041361715.1
MHL_RS03580 WP_011206522.1
MHL_RS03585 WP_020835932.1
MHL_RS03590 WP_020835933.1
MHL_RS03595 WP_041361816.1
MHL_RS03600 WP_020835935.1
MHL_RS03605 WP_020835935.1
MHL_RS03610 WP_011284394.1
MHL_RS03615 WP_011206529.1
