Orthogroup	MFC_MF33_genes	MFC_ATCC27716_genes
OG0000344	DR085_RS00395	MFC_RS00850
OG0000345	DR085_RS01180	MFC_RS02130
OG0000346	DR085_RS03830	MFC_RS02800
OG0000347	DR085_RS01715	MFC_RS00620
OG0000348	DR085_RS03760	MFC_RS01915
OG0000349	DR085_RS02520	MFC_RS02745
OG0000350	DR085_RS00655	MFC_RS03345
OG0000351	DR085_RS00330	MFC_RS00785
OG0000352	DR085_RS02815	MFC_RS01340
OG0000353	DR085_RS01745	MFC_RS00590
OG0000354	DR085_RS00450	MFC_RS00900
OG0000355	DR085_RS03855	MFC_RS01315
OG0000356	DR085_RS03870	MFC_RS01395
OG0000357	DR085_RS03705	MFC_RS01485
OG0000358	DR085_RS01455	MFC_RS01490
OG0000359	DR085_RS03765	MFC_RS01885
OG0000360	DR085_RS00110	MFC_RS02500
OG0000361	DR085_RS00140	MFC_RS02530
OG0000362	DR085_RS00875	MFC_RS02915
OG0000363	DR085_RS03935	MFC_RS00660
OG0000365	DR085_RS03915	MFC_RS00050
OG0000366	DR085_RS02840	MFC_RS00080
OG0000367	DR085_RS02850	MFC_RS00090
OG0000368	DR085_RS02325	MFC_RS00175
OG0000369	DR085_RS03780	MFC_RS00210
OG0000370	DR085_RS02285	MFC_RS00215
OG0000371	DR085_RS02280	MFC_RS00220
OG0000372	DR085_RS02275	MFC_RS00225
OG0000373	DR085_RS02250	MFC_RS00250
OG0000374	DR085_RS02240	MFC_RS00260
OG0000375	DR085_RS01920	MFC_RS00415
OG0000376	DR085_RS01865	MFC_RS00470
OG0000377	DR085_RS01855	MFC_RS00480
OG0000378	DR085_RS01820	MFC_RS00515
OG0000379	DR085_RS01750	MFC_RS00585
OG0000380	DR085_RS01725	MFC_RS00610
OG0000381	DR085_RS01685	MFC_RS00650
OG0000382	DR085_RS01655	MFC_RS00680
OG0000383	DR085_RS01615	MFC_RS00720
OG0000384	DR085_RS00335	MFC_RS00790
OG0000385	DR085_RS00340	MFC_RS00795
OG0000386	DR085_RS00360	MFC_RS00815
OG0000387	DR085_RS00385	MFC_RS00840
OG0000388	DR085_RS03645	MFC_RS00845
OG0000389	DR085_RS00430	MFC_RS00880
OG0000390	DR085_RS00545	MFC_RS00990
OG0000391	DR085_RS00555	MFC_RS01000
OG0000392	DR085_RS00580	MFC_RS01030
OG0000393	DR085_RS00635	MFC_RS01080
OG0000394	DR085_RS00700	MFC_RS01145
OG0000395	DR085_RS00705	MFC_RS01150
OG0000396	DR085_RS02710	MFC_RS01280
OG0000397	DR085_RS02665	MFC_RS01325
OG0000398	DR085_RS02660	MFC_RS01330
OG0000399	DR085_RS02770	MFC_RS01375
OG0000400	DR085_RS01415	MFC_RS01450
OG0000401	DR085_RS01475	MFC_RS01510
OG0000402	DR085_RS01485	MFC_RS01520
OG0000403	DR085_RS01495	MFC_RS01530
OG0000404	DR085_RS03710	MFC_RS03375, MFC_RS01555
