Orthogroup	MHP_154B_genes	MHP_112B_genes
OG0000495	NB624_RS02995	NBX26_RS03015
OG0000496	NB624_RS02985	NBX26_RS03000
OG0000497	NB624_RS02980	NBX26_RS02995
OG0000498	NB624_RS02905	NBX26_RS02910
OG0000499	NB624_RS02865	NBX26_RS02875
OG0000500	NB624_RS01935	NBX26_RS02170
OG0000501	NB624_RS03225	NBX26_RS03235
OG0000502	NB624_RS01190	NBX26_RS01325
OG0000503	NB624_RS00915	NBX26_RS00770
OG0000504	NB624_RS00780	NBX26_RS00905
OG0000505	NB624_RS00745	NBX26_RS01070
OG0000507	NB624_RS00700	NBX26_RS01115
OG0000508	NB624_RS00250	NBX26_RS00245
OG0000511	NB624_RS00430	NBX26_RS00425
OG0000512	NB624_RS02710	NBX26_RS02715
OG0000513	NB624_RS03570	NBX26_RS03625
OG0000514	NB624_RS03020	NBX26_RS03035
OG0000515	NB624_RS01555, NB624_RS01845	NBX26_RS02255
OG0000517	NB624_RS00065	NBX26_RS00065
OG0000521	NB624_RS00265	NBX26_RS00260
OG0000522	NB624_RS00300	NBX26_RS00295
OG0000525	NB624_RS03490	NBX26_RS03520
OG0000526	NB624_RS01830	NBX26_RS02270
OG0000527	NB624_RS01770	NBX26_RS02325
OG0000528	NB624_RS02020	NBX26_RS02085
OG0000532	NB624_RS01615	NBX26_RS01750
OG0000533	NB624_RS01085	NBX26_RS00600
OG0000534	NB624_RS00380	NBX26_RS00375
OG0000536	NB624_RS03685	NBX26_RS03740
